"Antwort ID","Datum Abgeschickt","Letzte Seite","Start-Sprache","Zufallsgeneratorstartwert","Wählen Sie ihren Code aus.","Kreuzen Sie an!  [Ich schätze mich im Umgang mit digitalen Medien als sicher ein.]","Kreuzen Sie an!  [Ich traue mir die Planung von Unterrichtsstunden im Fach Chemie, in denen digitale Medien verwendet werden, zu.]","Kreuzen Sie an!  [Ich bin mir sicher, sensorbasierte Experimente (z.B. Lego Mindstorms, Arduino etc.) im Unterricht realisieren zu können.]","Kreuzen Sie an!  [Digitale Medien spielen für den Chemieunterricht eine große Rolle.]","Kreuzen Sie an!  [Digitale Medien sind fester Bestandteil des Lehren und Lernens.]","Kreuzen Sie an!  [Durch den Einsatz digitaler Medien können Schüler:innen besser zum Lernen motiviert werden.]","Kreuzen Sie an!  [Der Einsatz von digitalen Medien in der Schule sorgt dafür, dass Kinder gut auf das Berufsleben vorbereitet werden.]","Kreuzen Sie an!  [Das Lernen mit digitalen Medien ist eine effiziente Form des Lernens.]","Kreuzen Sie an!  [Mit digitalen Medien kann ich Unterricht adressatengerechter planen und anpassen.]","Kreuzen Sie an!  [Die Verwendung digitaler Medien im Unterricht ermöglicht eine Verknüpfung mit der Alltagswelt der Schüler:innen.]","Kreuzen Sie an!  [Ich mag es, mich in die Bedienung digitaler Medien (z.B. Programme) für den Unterricht einzuarbeiten.]","Kreuzen Sie an!  [Mir fehlt manchmal das nötige Wissen, um digitale Medien in meine Unterrichtsplanungen einzubinden.]","Kreuzen Sie an!  [Es fällt mir schwer, Experimente mit Hilfe von Messwerterfassungssystemen im Unterricht durchzuführen.]","Kreuzen Sie an!  [Programmieren im Kontext des Chemieunterrichts schreckt mich eher ab.]","Selbstgebauter Sensor [Bewerten Sie die Handhabung des selbstgebauten Sensors. ]","Selbstgebauter Sensor [Bewerten Sie die grafische Oberfläche die sie beim Einsatz des selbstgebauten Sensors verwendet haben.]","Selbstgebauter Sensor [Bewerten Sie den Aufwand der Inbetriebnahme des selbstgebauten Sensors. ]","Selbstgebauter Sensor [Bewerten Sie die Mobilität des selbstgebauten Sensors. ]","Selbstgebauter Sensor [Bewerten Sie den selbstgebauten Sensor hinsichtlich der Vielseitigkeit im Einsatz.]","Vernier Sensor [Bewerten Sie die Handhabung des Vernier Sensors.]","Vernier Sensor [Bewerten Sie die grafische Oberfläche die Sie beim Einsatz des Vernier Sensors verwendet haben.]","Vernier Sensor [Bewerten Sie den Aufwand der Inbetriebnahme des Vernier Sensors. ]","Vernier Sensor [Bewerten Sie die Mobilität des Vernier Sensors. ]","Vernier Sensor [Bewerten Sie den Vernier Sensor hinsichtlich der Vielseitigkeit im Einsatz.]","Möchten Sie noch einen Aspekt mitteilen, der nicht abgefragt wurde? ","Kreuzen Sie an! [Ich fand die Gestaltung des Seminars passend.]","Kreuzen Sie an! [Ich habe durch das Seminar etwas über den Bau von Microcontrollern gelernt.  ]","Kreuzen Sie an! [Ich fand das Thema des Seminars interessant.]","Kreuzen Sie an! [Ich traue mir nach dem Seminar auch den Bau eines anderen Microcontroller-Sensors zu.]","Kreuzen Sie an! [Die Erklärungen des Dozenten waren verständlich.]","Kreuzen Sie an! [Der Dozent erschien mir kompetent.]","Kreuzen Sie an! [Hätte ich die Wahl zwischen einem gekauften und einem selbstgebauten Sensor, würde ich letzteren für den Einsatz im Unterricht bevorzugen.]","Freies Feedback"
"1","","","de","1246529120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","1980-01-01 00:00:00","4","de","197166680","09972","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft überwiegend zu","trifft völlig zu","trifft völlig zu","trifft überwiegend zu","trifft überwiegend zu","trifft völlig zu","trifft überwiegend zu","trifft völlig zu","trifft teilweise bis überwiegend zu","trifft kaum bis teilweise zu","trifft kaum bis teilweise zu","trifft kaum bis teilweise zu","8","6","8","5","6","9","8","4","9","7","","trifft völlig zu","trifft überwiegend zu","trifft überwiegend zu","trifft kaum bis teilweise zu","trifft völlig zu","trifft völlig zu","trifft völlig zu",""
"3","1980-01-01 00:00:00","4","de","1817400674","Toan29","trifft völlig zu","trifft überwiegend zu","trifft überwiegend zu","trifft kaum bis teilweise zu","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft gar nicht zu","trifft kaum zu","trifft teilweise bis überwiegend zu","8","6","8","7","5","10","10","10","10","7","","trifft völlig zu","trifft völlig zu","trifft völlig zu","trifft teilweise bis überwiegend zu","trifft überwiegend zu","trifft völlig zu","trifft teilweise bis überwiegend zu",""
"4","1980-01-01 00:00:00","4","de","2086823721","MiMe21","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft kaum bis teilweise zu","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft kaum bis teilweise zu","trifft kaum bis teilweise zu","trifft kaum zu","trifft überwiegend zu","7","4","10","8","6","9","9","5","10","5","","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft kaum bis teilweise zu","trifft völlig zu","trifft völlig zu","trifft kaum bis teilweise zu",""
"5","1980-01-01 00:00:00","4","de","1624462091","ChSo12","trifft teilweise bis überwiegend zu","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft überwiegend zu","6","7","8","8","8","9","9","9","9","9","","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft überwiegend zu","trifft überwiegend zu","trifft teilweise bis überwiegend zu",""
"6","","1","de","1738552381","SiEi19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","1980-01-01 00:00:00","4","de","1898892490","NoSo07","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft kaum bis teilweise zu","trifft überwiegend zu","trifft völlig zu","trifft völlig zu","trifft völlig zu","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft kaum bis teilweise zu","trifft kaum bis teilweise zu","trifft kaum zu","8","6","9","6","7","8","9","3","10","9","","trifft überwiegend zu","trifft überwiegend zu","trifft überwiegend zu","trifft überwiegend zu","trifft völlig zu","trifft überwiegend zu","trifft kaum bis teilweise zu",""
"8","1980-01-01 00:00:00","4","de","529325677","AnAn31","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft gar nicht zu","trifft kaum bis teilweise zu","trifft überwiegend zu","trifft überwiegend zu","trifft völlig zu","trifft teilweise bis überwiegend zu","trifft überwiegend zu","trifft völlig zu","trifft überwiegend zu","trifft überwiegend zu","trifft überwiegend zu","trifft kaum bis teilweise zu","9","9","3","8","6","9","9","9","9","8","","trifft kaum bis teilweise zu","trifft überwiegend zu","trifft kaum bis teilweise zu","trifft kaum zu","trifft völlig zu","trifft völlig zu","trifft kaum bis teilweise zu",""
"9","1980-01-01 00:00:00","4","de","1118830297","AlHe12","trifft kaum bis teilweise zu","trifft völlig zu","trifft kaum zu","trifft völlig zu","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft völlig zu","trifft kaum zu","trifft überwiegend zu","trifft kaum bis teilweise zu","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft überwiegend zu","trifft gar nicht zu","3","6","9","7","5","9","8","2","6","7","","trifft völlig zu","trifft völlig zu","trifft völlig zu","trifft kaum bis teilweise zu","trifft überwiegend zu","trifft überwiegend zu","trifft kaum zu","Es war sehr interessant, auch wenn es bei unserer Gruppe leider nicht funktioniert hat. Danke für die tolle Erfahrung. Frohe Weihnachten:)"
"10","1980-01-01 00:00:00","4","de","615810393","JöTa11","trifft kaum zu","trifft kaum zu","trifft kaum zu","trifft kaum bis teilweise zu","trifft überwiegend zu","trifft kaum bis teilweise zu","trifft überwiegend zu","trifft kaum bis teilweise zu","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft kaum bis teilweise zu","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft überwiegend zu","5","7","2","8","7","8","6","5","6","5","","trifft völlig zu","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft kaum bis teilweise zu","trifft völlig zu","trifft überwiegend zu","trifft teilweise bis überwiegend zu","Es wäre eventuell gut, den Plan zur Appinstallierung etc. nochmal auf Fehler und Verständlichkeit zu überprüfen."
"11","1980-01-01 00:00:00","4","de","703220728","RoAn13","trifft überwiegend zu","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft überwiegend zu","trifft überwiegend zu","trifft völlig zu","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft kaum bis teilweise zu","trifft kaum bis teilweise zu","trifft kaum bis teilweise zu","6","8","8","9","8","9","9","3","9","10","","trifft überwiegend zu","trifft völlig zu","trifft völlig zu","trifft teilweise bis überwiegend zu","trifft überwiegend zu","trifft völlig zu","trifft kaum bis teilweise zu",""
"12","1980-01-01 00:00:00","4","de","780854854","HeIs14","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft kaum bis teilweise zu","trifft teilweise bis überwiegend zu","trifft überwiegend zu","trifft völlig zu","trifft völlig zu","trifft überwiegend zu","trifft überwiegend zu","trifft völlig zu","trifft überwiegend zu","trifft kaum zu","trifft kaum bis teilweise zu","trifft teilweise bis überwiegend zu","8","7","3","7","9","7","7","6","9","9","","trifft völlig zu","trifft völlig zu","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft völlig zu","trifft völlig zu","trifft teilweise bis überwiegend zu",""
"13","1980-01-01 00:00:00","4","de","2077059928","GeCh23","trifft kaum bis teilweise zu","trifft völlig zu","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft überwiegend zu","trifft völlig zu","trifft völlig zu","trifft überwiegend zu","trifft überwiegend zu","trifft überwiegend zu","trifft kaum bis teilweise zu","trifft völlig zu","trifft kaum bis teilweise zu","trifft kaum bis teilweise zu","8","6","8","10","7","10","9","1","10","7","","trifft überwiegend zu","trifft völlig zu","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft völlig zu","trifft völlig zu","trifft kaum bis teilweise zu",""
"14","1980-01-01 00:00:00","4","de","766506003","AlIn01","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft kaum zu","trifft teilweise bis überwiegend zu","trifft überwiegend zu","trifft überwiegend zu","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft überwiegend zu","trifft kaum bis teilweise zu","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft überwiegend zu","8","8","7","10","9","8","8","4","9","9","","trifft überwiegend zu","trifft überwiegend zu","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft überwiegend zu","trifft völlig zu","trifft teilweise bis überwiegend zu",""
"15","1980-01-01 00:00:00","4","de","1673397985","GeSa13","trifft kaum bis teilweise zu","trifft teilweise bis überwiegend zu","trifft gar nicht zu","trifft überwiegend zu","trifft völlig zu","trifft teilweise bis überwiegend zu","trifft überwiegend zu","trifft überwiegend zu","trifft überwiegend zu","trifft überwiegend zu","trifft gar nicht zu","trifft teilweise bis überwiegend zu","trifft völlig zu","trifft völlig zu","4","8","10","5","7","10","10","1","1","5","","trifft kaum bis teilweise zu","trifft teilweise bis überwiegend zu","trifft kaum zu","trifft kaum zu","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft gar nicht zu",""
"16","1980-01-01 00:00:00","4","de","1056386292","FrGu03","trifft überwiegend zu","trifft überwiegend zu","trifft überwiegend zu","trifft überwiegend zu","trifft völlig zu","trifft völlig zu","trifft völlig zu","trifft überwiegend zu","trifft überwiegend zu","trifft völlig zu","trifft kaum bis teilweise zu","trifft kaum zu","trifft kaum zu","trifft kaum bis teilweise zu","5","5","5","6","5","6","5","1","7","5","","trifft überwiegend zu","trifft überwiegend zu","trifft teilweise bis überwiegend zu","","trifft völlig zu","trifft völlig zu","",""
"17","1980-01-01 00:00:00","4","de","1290860766","HeBr14","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft überwiegend zu","trifft überwiegend zu","trifft überwiegend zu","trifft überwiegend zu","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft überwiegend zu","trifft kaum bis teilweise zu","trifft teilweise bis überwiegend zu","trifft kaum bis teilweise zu","trifft kaum bis teilweise zu","6","8","6","9","5","7","7","5","7","7","","trifft völlig zu","trifft völlig zu","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft überwiegend zu","trifft völlig zu","trifft teilweise bis überwiegend zu",""
"18","","","de","1957858151","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""

